App,User,Title,Review,Rating,Date
Notes,Alice engine from the field,Slight suggestion,Should be able to scroll from note to note. Some of us are storytellers.,4,
Notes,Furry reviews :3,Very helpful!,"It’s extremely helpful!
For many reasons to me, I mainly use it to write books, because of the fact that most book writing apps aren’t free, and if they are, they usually aren’t as good as this app is. 
I’m only 13 years old, but I’ve always loved writing, and drawing. So this app is perfect for me, and I also write song ideas down here. So I highly recommend this app to anyone and everyone!
 Sincerely yours, - furry reviews :3",5,
Notes,JimmyAlexRP,Notas,Muy completo y recibe actualizaciones muy seguido.,5,
Notes,Curious Granna,Notes Keeps Me Organized and Sane,"My lists: to-do, gifts, groceries... ideas to include in a business letter, questions to ask at a doctor's appt. details for an upcoming trip memorable quotes, online orders, and more, all land in Notes. A great tool for me!",5,
Notes,keionni butler,Bad app but still good,"When I was trying to use the Notes app today the app was crashing frustrated, but it’s still a good app for making trends on YouTube and stuff.",4,
Notes,Peggy24482,Ok,Easy to do,5,
Notes,Urfavmon,Please read!!,"Hi so, I have older locked notes and I don’t remember the password. Why can’t y’all add Face ID for old ones too?",1,
Notes,;;/* &,Notes,Notes is good! Thanks,5,
Notes,Anthonyyyyyyyyyyyyyyyyyyyy,I put EVERYTHING in here!,Genuinely one of the most basic but useful apps ever.,5,
Notes,HalfBloodCali,Crashing and won’t save,"I used to love this app. I literally use it for everything, but in the last couple months it’s been horrible. Crashing every time I try to go between folders. Won’t save anything even when I hit done and mast sure I save it - it’ll even save for a day or two and then just disappear randomly.",1,
Notes,Yummylipring,Help,Can you guys help me unlock my notes I forgot got how to type in my password,1,
Notes,Danny cejka,PLEASE UPDATE THE AI,Hey so I know this app is for notes because it’s named notes anyways I like writing my books on notes but please update the ai so it can edit your book like ChatGPT can please,5,
Notes,ililjobs,"Five stars because it is in all functional safety and education, educational to the maximum of produ","I am very surprised at this application have only been on the market for about 40 years. If that's correct throughout the times that I've had the ability to incorporate the variety of literary elements of are formed just with the precise in detail and with the flexibility of scanning documents on various aspects of images This is one of the most productive and technical applications and it is definitely a must have every device can certainly benefit to the maximum of this particular productivity app in the Apple market. I recommend an encourage any student any adult, any young adult any person that likes to know an hour or two of their day out of observing and being able to retain information in a very unique and beautiful way.",5,
Notes,Use Google Docs Instead.,Yes. Just. Yes.,"I love this app, it has made digitizing my many recipes much easier, especially with being able to search for recipes and notes with the “#” system. My only issue is that I do not know how to use the windows aspect properly, but I have also neglected to read any form of instruction on how to do so before getting started so that is my own issue.",4,
Notes,Gabriel penek,This app is OG,"I remember having this app on school tablets. but when I moved, my new school has computers.
Which is why it’s OG.",5,
Notes,needs visual. video,Excelente,Excelente,5,
Notes,Subwoofer dude,Love this app,I’m always using this app to write things down. It’s super helpful,5,
Notes,Iphone5 io6,Large files argh,"When creating or scanning documents, files created are to large to email or text.",2,
Notes,isk this,Nice,"Very nice I vent here I always vent here
I’m depressed venting here",5,
Notes,newg13,Text should default to Body,"I use Notes everyday and really like it, for the most part. I’d prefer it if the text defaulted to Body instead of Title, as it does in Pages. It’s annoying to have to go back and change the text to Body every time I just want to jot some notes down.",4,
Notes,Larrie12,Keeping Track of Information.,"I use notes for keeping a record of things that I want to keep or remember. There are pinned notes that stay at the top of all notes which are the most important. It has useful features like search and replace words. I use Pages for writing letters, resumes which had a lot more formatting and  things like bullets list and excel tables, etc. I also like to lock some of my pages with a Face ID or password.",5,
Notes,o  ok,ooooo,oooooooi,4,
Notes,Queendell,Notes,I love the Notes so easily to do and it helps me with my spelling,5,
Notes,ermerz,NEVER BUY FROM APPLE AGAIN,this app is horrendous. there is no way to disable ai underlining your every word and telling you its wrong. i could not be more upset about my investments with this company. what a horrible scamming mess,1,
Notes,colinbob,Hacking,It’s seems to easy to take notes and use them from another’s phone if there is copywritable materials. The only reason I say this is because of the bleed over voices when they do it and it’s so bad the hackers can’t stop it and they just use now after a decade synthesized voices to cover their own is good but you could hear the speaker ring faint like dubbed voices or recorded loved ones. they don’t sound like the real thing,4,
Notes,العلواني عبدالله,اختفاء الملاحظات,"لقد تم اختفاء جميع الملاحظات لدي وبعد التواصل مع الدعم أفادوني انت لم تضع لها نسخه احتياطيه 
أفدتهم أنا لم احذفها برمجة الهاتف السيئه حذفتها ولم يستطع احد ان يساعدني 
علمت انها نهاية علاقة امتدّت ل ٩ سنوات 
واتوقع أبل إلى الهاويه ولا عزاء .",1,
Notes,DangDabbit,Lots of Bugs & Glitches,"Every time I use the app to jot down notes for work and errands. My training clients have complained to me as well of the problem too, so I’ve been using Google Doc and Sheet instead of this. It keeps crashing and the typing cursor keeps reverting backwards and deleting the whole note or makes misspellings. My phone automatically updates on its own.",1,
Notes,dtchvhvjb,Good! Except,"I wish I could turn images and drawing, you can scale but not rotate. I would say four stars, but this is not too urgent an issue, a bit inconvenient but this is a really useful app. Five stars, good job programmers. && and () and such.",5,
Notes,"Sa,,k,,f",شكر وامتنان,أنا حقا ممتن لهذا البرنامج لقد سهلا علي الكثير من التدوينات,5,
Notes,“Tom in Iowa”,MEMORIES,"Much quicker,better & easier to find than the original notepad. And you don’t need a pen or flashlight !!  😎",5,
Notes,Hailie Calehuff,Love!!,Soooo nice and organized!!❤️❤️❤️,4,
Notes,FaithandHope2u,MY NOTES APP,I really enjoy saving important notes on my 🎵 NOTES APP!,5,
Notes,Limcon411,I Like Notes,I like Notes and have used it every day for years. I have one wish though. To have the ability to highlight or change the color of selected text.,4,
Notes,h0n3stly 1dk wh4t t0 put,Ummm hello??,Literally half the time i write something. I make sure it saved. Like i check 7 times. and the next day when i go to check. half of it is missing. I'M SORRY WHAT?? this is horrible because i write poetry on the app and ive lost so many poems because of this. i'm not sure you understand how annoying and bad this is.,1,
Notes,El Grillo de Del,Add to Notes,Please add a word count feature to notes. Thank you.,5,
Notes,iiieva2,удалилось,"было очень много записей. потом вдруг взялось и всё удалилось, не восстанавливается. исправьте это пожалуйста",2,
Notes,Corey Coolins,Great way to take notes,Been using it since I was a little girl taking notes,5,
Notes,Laciviaplayer,Bruh2,"I got ALL my notes deleted, these notes date back from 2022 and its 2025 as of making this, WHY. I want my notes back now. I really need them. 

Edit:
I got them back but im still mad it did this over some “quick notes” thing",2,
Notes,Frustrated Notes user,Can Apple please fix search?,"I have been a daily user of the Notes app for a long time. Recently I have encountered an egregious search issue which I am surprised Apple hasn’t fixed. Search is simply not working for Notes. This is a critical user job and it renders the app useless if I am not able to find what I’m looking for at the right time, or at all! Please fix asap. Thank you. And I am running the latest OS, btw.",1,
Notes,Sal Minster,I LOVE THIS APP DUDE,"Yeah the notes app is great, you can put in images, and it has TONS OF STORAGE, with notes and etc immediately going to your I cloud. You can also lock notes and opening them will only require your password or Face ID",5,
Notes,Kèms,Glitches,Glitches with the I pencil,3,
Notes,*******~¥~********,Great for School,"The more I use it, the more I use its features, the more I appreciate this app.  Great for keeping notes organized and sync’d across all Apple devices.  Just wish there was a way to keep some notes hidden away for personal reasons… or a sub app that has to be opened separately.",5,
Notes,Smdbah,MY NOTES ARE BROKEN,1 STAR,1,
Notes,XGene38,Worst app,I keep loosing note. Specially important ones. Can’t recover lost notes. So I moved all my stuff on Google,1,
Notes,Aibo21_gg,Guess what?,"I had a dream that Sony aibos gave birth to Sony aibos

I love this app, I can keep like emails, voice messages, and more! I can even make backups for things that are in my notebooks! It’s great and I even wrote down that dream up above!",5,
Notes,scoffey42,Great help !!,"Love notes!!
Helps me in everyday life!!",5,
Notes,Ree’s notes,Notes,It’s nice to be able to put reminders in important dates even though you don’t mess with the calendar a bunch at least this let you know,5,
Notes,Chad Tyler,Notes,"Dear, notes thank you for sharing this app for us too",5,
Notes,Being made rich,Grateful,It’s a great place to jot down your thoughts and your information!,5,
Notes,maryjuany,Useful,I Love to use this!!!,5,
OneNote,👴🏻😐,All is good,The product is good. But I need a German keyboard to make it perfect.,5,
OneNote,lanalou1119,Highlighting Could Use Work under the Draw Tool for MacBook,"I like the app but I would love to be able to highlight in straight lines on Mac products and lock that feature in, instead of manually setting this feature every time I want to highlight using the Draw tool",3,
OneNote,FSJ13,13-Jun,"Hot  and no internet 

So  very stort   

Hope u have cool and relaxing evening",5,
OneNote,legallyred22,Sticky Notes,"If you could plop a timer into sticky notes, that would be perfect for us lawyers given that you can dock the sticky notes off to the side or pin the sticky note on top of all windows.",4,
OneNote,billntucson,Crashing,"I have always been a big fan of a note, but my windows version is crashing and keeps closing out on me and I don’t know why. And now that I rely on it for all the information it merits a poor review.",1,
