Platform,App,User,Date,Rating,Review,Title
Apple App Store,Notes,Alice engine from the field,6/17/25 17:30,4,Should be able to scroll from note to note. Some of us are storytellers.,Slight suggestion
Apple App Store,Notes,Furry reviews :3,6/18/25 17:30,5,"It’s extremely helpful!
For many reasons to me, I mainly use it to write books, because of the fact that most book writing apps aren’t free, and if they are, they usually aren’t as good as this app is. 
I’m only 13 years old, but I’ve always loved writing, and drawing. So this app is perfect for me, and I also write song ideas down here. So I highly recommend this app to anyone and everyone!
 Sincerely yours, - furry reviews :3",Very helpful!
Apple App Store,Notes,JimmyAlexRP,6/19/25 17:30,5,Muy completo y recibe actualizaciones muy seguido.,Notas
Apple App Store,Notes,Curious Granna,6/20/25 17:30,5,"My lists: to-do, gifts, groceries... ideas to include in a business letter, questions to ask at a doctor's appt. details for an upcoming trip memorable quotes, online orders, and more, all land in Notes. A great tool for me!",Notes Keeps Me Organized and Sane
Apple App Store,Notes,keionni butler,6/21/25 17:30,4,"When I was trying to use the Notes app today the app was crashing frustrated, but it’s still a good app for making trends on YouTube and stuff.",Bad app but still good
Apple App Store,Notes,Peggy24482,6/22/25 17:30,5,Easy to do,Ok
Apple App Store,Notes,Urfavmon,6/23/25 17:30,1,"Hi so, I have older locked notes and I don’t remember the password. Why can’t y’all add Face ID for old ones too?",Please read!!
Apple App Store,Notes,;;/* &,6/24/25 17:30,5,Notes is good! Thanks,Notes
Apple App Store,Notes,Anthonyyyyyyyyyyyyyyyyyyyy,6/25/25 17:30,5,Genuinely one of the most basic but useful apps ever.,I put EVERYTHING in here!
Apple App Store,Notes,HalfBloodCali,6/26/25 17:30,1,"I used to love this app. I literally use it for everything, but in the last couple months it’s been horrible. Crashing every time I try to go between folders. Won’t save anything even when I hit done and mast sure I save it - it’ll even save for a day or two and then just disappear randomly.",Crashing and won’t save
Apple App Store,Notes,Yummylipring,6/27/25 17:30,1,Can you guys help me unlock my notes I forgot got how to type in my password,Help
Apple App Store,Notes,Danny cejka,6/28/25 17:30,5,Hey so I know this app is for notes because it’s named notes anyways I like writing my books on notes but please update the ai so it can edit your book like ChatGPT can please,PLEASE UPDATE THE AI
Apple App Store,Notes,ililjobs,6/29/25 17:30,5,"I am very surprised at this application have only been on the market for about 40 years. If that's correct throughout the times that I've had the ability to incorporate the variety of literary elements of are formed just with the precise in detail and with the flexibility of scanning documents on various aspects of images This is one of the most productive and technical applications and it is definitely a must have every device can certainly benefit to the maximum of this particular productivity app in the Apple market. I recommend an encourage any student any adult, any young adult any person that likes to know an hour or two of their day out of observing and being able to retain information in a very unique and beautiful way.","Five stars because it is in all functional safety and education, educational to the maximum of produ"
Apple App Store,Notes,Use Google Docs Instead.,6/30/25 17:30,4,"I love this app, it has made digitizing my many recipes much easier, especially with being able to search for recipes and notes with the “#” system. My only issue is that I do not know how to use the windows aspect properly, but I have also neglected to read any form of instruction on how to do so before getting started so that is my own issue.",Yes. Just. Yes.
Apple App Store,Notes,Gabriel penek,7/1/25 17:30,5,"I remember having this app on school tablets. but when I moved, my new school has computers.
Which is why it’s OG.",This app is OG
Apple App Store,Notes,needs visual. video,7/2/25 17:30,5,Excelente,Excelente
Apple App Store,Notes,Subwoofer dude,7/3/25 17:30,5,I’m always using this app to write things down. It’s super helpful,Love this app
Apple App Store,Notes,Iphone5 io6,7/4/25 17:30,2,"When creating or scanning documents, files created are to large to email or text.",Large files argh
Apple App Store,Notes,isk this,7/5/25 17:30,5,"Very nice I vent here I always vent here
I’m depressed venting here",Nice
Apple App Store,Notes,newg13,7/6/25 17:30,4,"I use Notes everyday and really like it, for the most part. I’d prefer it if the text defaulted to Body instead of Title, as it does in Pages. It’s annoying to have to go back and change the text to Body every time I just want to jot some notes down.",Text should default to Body
Apple App Store,Notes,Larrie12,7/7/25 17:30,5,"I use notes for keeping a record of things that I want to keep or remember. There are pinned notes that stay at the top of all notes which are the most important. It has useful features like search and replace words. I use Pages for writing letters, resumes which had a lot more formatting and  things like bullets list and excel tables, etc. I also like to lock some of my pages with a Face ID or password.",Keeping Track of Information.
Apple App Store,Notes,o  ok,7/8/25 17:30,4,oooooooi,ooooo
Apple App Store,Notes,Queendell,7/9/25 17:30,5,I love the Notes so easily to do and it helps me with my spelling,Notes
Apple App Store,Notes,ermerz,7/10/25 17:30,1,this app is horrendous. there is no way to disable ai underlining your every word and telling you its wrong. i could not be more upset about my investments with this company. what a horrible scamming mess,NEVER BUY FROM APPLE AGAIN
Apple App Store,Notes,colinbob,7/11/25 17:30,4,It’s seems to easy to take notes and use them from another’s phone if there is copywritable materials. The only reason I say this is because of the bleed over voices when they do it and it’s so bad the hackers can’t stop it and they just use now after a decade synthesized voices to cover their own is good but you could hear the speaker ring faint like dubbed voices or recorded loved ones. they don’t sound like the real thing,Hacking
Apple App Store,Notes,العلواني عبدالله,7/12/25 17:30,1,"لقد تم اختفاء جميع الملاحظات لدي وبعد التواصل مع الدعم أفادوني انت لم تضع لها نسخه احتياطيه 
أفدتهم أنا لم احذفها برمجة الهاتف السيئه حذفتها ولم يستطع احد ان يساعدني 
علمت انها نهاية علاقة امتدّت ل ٩ سنوات 
واتوقع أبل إلى الهاويه ولا عزاء .",اختفاء الملاحظات
Apple App Store,Notes,DangDabbit,7/13/25 17:30,1,"Every time I use the app to jot down notes for work and errands. My training clients have complained to me as well of the problem too, so I’ve been using Google Doc and Sheet instead of this. It keeps crashing and the typing cursor keeps reverting backwards and deleting the whole note or makes misspellings. My phone automatically updates on its own.",Lots of Bugs & Glitches
Apple App Store,Notes,dtchvhvjb,7/14/25 17:30,5,"I wish I could turn images and drawing, you can scale but not rotate. I would say four stars, but this is not too urgent an issue, a bit inconvenient but this is a really useful app. Five stars, good job programmers. && and () and such.",Good! Except
Apple App Store,Notes,"Sa,,k,,f",7/15/25 17:30,5,أنا حقا ممتن لهذا البرنامج لقد سهلا علي الكثير من التدوينات,شكر وامتنان
Apple App Store,Notes,“Tom in Iowa”,7/16/25 17:30,5,"Much quicker,better & easier to find than the original notepad. And you don’t need a pen or flashlight !!  😎",MEMORIES
Apple App Store,Notes,Hailie Calehuff,7/17/25 17:30,4,Soooo nice and organized!!❤️❤️❤️,Love!!
Apple App Store,Notes,FaithandHope2u,7/18/25 17:30,5,I really enjoy saving important notes on my 🎵 NOTES APP!,MY NOTES APP
Apple App Store,Notes,Limcon411,7/19/25 17:30,4,I like Notes and have used it every day for years. I have one wish though. To have the ability to highlight or change the color of selected text.,I Like Notes
Apple App Store,Notes,h0n3stly 1dk wh4t t0 put,7/20/25 17:30,1,Literally half the time i write something. I make sure it saved. Like i check 7 times. and the next day when i go to check. half of it is missing. I'M SORRY WHAT?? this is horrible because i write poetry on the app and ive lost so many poems because of this. i'm not sure you understand how annoying and bad this is.,Ummm hello??
Apple App Store,Notes,El Grillo de Del,7/21/25 17:30,5,Please add a word count feature to notes. Thank you.,Add to Notes
Apple App Store,Notes,iiieva2,7/22/25 17:30,2,"было очень много записей. потом вдруг взялось и всё удалилось, не восстанавливается. исправьте это пожалуйста",удалилось
Apple App Store,Notes,Corey Coolins,7/23/25 17:30,5,Been using it since I was a little girl taking notes,Great way to take notes
Apple App Store,Notes,Laciviaplayer,7/24/25 17:30,2,"I got ALL my notes deleted, these notes date back from 2022 and its 2025 as of making this, WHY. I want my notes back now. I really need them. 

Edit:
I got them back but im still mad it did this over some “quick notes” thing",Bruh2
Apple App Store,Notes,Frustrated Notes user,7/25/25 17:30,1,"I have been a daily user of the Notes app for a long time. Recently I have encountered an egregious search issue which I am surprised Apple hasn’t fixed. Search is simply not working for Notes. This is a critical user job and it renders the app useless if I am not able to find what I’m looking for at the right time, or at all! Please fix asap. Thank you. And I am running the latest OS, btw.",Can Apple please fix search?
Apple App Store,Notes,Sal Minster,7/26/25 17:30,5,"Yeah the notes app is great, you can put in images, and it has TONS OF STORAGE, with notes and etc immediately going to your I cloud. You can also lock notes and opening them will only require your password or Face ID",I LOVE THIS APP DUDE
Apple App Store,Notes,Kèms,7/27/25 17:30,3,Glitches with the I pencil,Glitches
Apple App Store,Notes,*******~¥~********,7/28/25 17:30,5,"The more I use it, the more I use its features, the more I appreciate this app.  Great for keeping notes organized and sync’d across all Apple devices.  Just wish there was a way to keep some notes hidden away for personal reasons… or a sub app that has to be opened separately.",Great for School
Apple App Store,Notes,Smdbah,7/29/25 17:30,1,1 STAR,MY NOTES ARE BROKEN
Apple App Store,Notes,XGene38,7/30/25 17:30,1,I keep loosing note. Specially important ones. Can’t recover lost notes. So I moved all my stuff on Google,Worst app
Apple App Store,Notes,Aibo21_gg,7/31/25 17:30,5,"I had a dream that Sony aibos gave birth to Sony aibos

I love this app, I can keep like emails, voice messages, and more! I can even make backups for things that are in my notebooks! It’s great and I even wrote down that dream up above!",Guess what?
Apple App Store,Notes,scoffey42,8/1/25 17:30,5,"Love notes!!
Helps me in everyday life!!",Great help !!
Apple App Store,Notes,Ree’s notes,8/2/25 17:30,5,It’s nice to be able to put reminders in important dates even though you don’t mess with the calendar a bunch at least this let you know,Notes
Apple App Store,Notes,Chad Tyler,8/3/25 17:30,5,"Dear, notes thank you for sharing this app for us too",Notes
Apple App Store,Notes,Being made rich,8/4/25 17:30,5,It’s a great place to jot down your thoughts and your information!,Grateful
Apple App Store,Notes,maryjuany,8/5/25 17:30,5,I Love to use this!!!,Useful
Apple App Store,OneNote,👴🏻😐,8/6/25 17:30,5,The product is good. But I need a German keyboard to make it perfect.,All is good
Apple App Store,OneNote,lanalou1119,8/7/25 17:30,3,"I like the app but I would love to be able to highlight in straight lines on Mac products and lock that feature in, instead of manually setting this feature every time I want to highlight using the Draw tool",Highlighting Could Use Work under the Draw Tool for MacBook
Apple App Store,OneNote,FSJ13,8/8/25 17:30,5,"Hot  and no internet 

So  very stort   

Hope u have cool and relaxing evening",13-Jun
Apple App Store,OneNote,legallyred22,8/9/25 17:30,4,"If you could plop a timer into sticky notes, that would be perfect for us lawyers given that you can dock the sticky notes off to the side or pin the sticky note on top of all windows.",Sticky Notes
Apple App Store,OneNote,billntucson,8/10/25 17:30,1,"I have always been a big fan of a note, but my windows version is crashing and keeps closing out on me and I don’t know why. And now that I rely on it for all the information it merits a poor review.",Crashing
Apple App Store,OneNote,US0122643,8/11/25 17:30,1,"One note used to be an amazing app on iPhone. But recently I’m encountering bugs that make my user experience much worse.

When I open the app and click on a location to start typing the interface defaults to “drawing mode” instead of “typing mode”. I don’t like this because I don’t use the drawing feature. This is a new bug to me.

Also, when back spacing the typing cursor will disappear when encountering a new line. The cursor disappearing will cause the keyboard to not accept input, so cannot type or continue to back space. The cursor will not reappear until I tap the next line. The result is I cannot back space delete lines unless I tap each line. 

I’m very sad these bugs started appearing. This used to be a daily use app for me, and previously it worked flawlessly.",One note use to be amazing on the iPhone
Apple App Store,OneNote,Spechtar,8/12/25 17:30,2,"Microsoft OneNote is generally a great app for note taking. This is especially true when your computer experience is primarily cross-platform. The largest problem currently is that it crashes often on iPadOS, making it difficult to use. While Apple Notes offers a robust note taking app, it is still currently nearly not usable on Windows devices. OneNote is still the best cross-platform note-taking app. If only they could make it stable on iPadOs.",Crash Happy
Apple App Store,OneNote,2015 TJ,8/13/25 17:30,5,Best app! I love to draw and this is perfect!,One note
Apple App Store,OneNote,Qo20s,8/14/25 17:30,5,"My device is iPad Air 7, and the system is iPadOS18.5. When I use OneNote to draw (write with Apple pencil), every time I switch to writing, it automatically switches to text mode after writing a stroke, and I cannot write continuously. This seriously affects my study. I hope this bug can be fixed. OneNote is an excellent software. I hope your company can optimize it. This will help many users. Thank you.",Question Feedback
Apple App Store,OneNote,thePuck77,8/15/25 17:30,5,I use it literally every day.,Literally use it every day.
Apple App Store,OneNote,Skarh,8/16/25 17:30,1,"The notification label says cannot snyc the Notes for the pass 3 weeksso it is  just Read only mode!!!!
This is trash. 
I have so many notes in this app and now i have to literally move everything out of this stupid app",Zero star!!! Cannot edit notes for more than 3 wks already!
Apple App Store,OneNote,monster van,8/17/25 17:30,1,"I mean it works, but there are so many little annoyances.  Like having to close to sync or formatting.   Or it doesn’t work for MacOs",I love OneNote on the desktop.   iOS meh
Apple App Store,OneNote,Chris_coy,8/18/25 17:30,1,I don't understand why that app is so bad compared to the windows version. you can't even highlight a simple piece of text normally in the app because it wants you to draw with the highlighter??? PLEASE make the app on iphone consistent with the quality of the desktop app as OneNote on desktop is the best simple note taking software on the market that uses simple notebooks and notebook sections,Bad
Apple App Store,OneNote,Claude VC,8/19/25 17:30,5,"I find the preferencial folder and subtext, note and picture manipulations feature of one note the best. It allows me to build surgical case set up outline with picture references.",Allied health professionals best
Apple App Store,OneNote,zoozol56,8/20/25 17:30,2,"Well, if it doesn't sync then all the other features are kind of beside the point.
FIX THE FUNDAMENTALS",Doesn't sync sny more
Apple App Store,OneNote,Joyce365,8/21/25 17:30,1,The app keeps shutting down on the iPad Pro. It’s not even allowing me to write or access my work.,App Keeps Glitching and Shutting Down
Apple App Store,OneNote,Quiero aprender más de Cava!,8/22/25 17:30,5,Buena herramienta para facilitar los trabajos!,Maravillosa
Apple App Store,OneNote,kriikee,8/23/25 17:30,4,"There are a few things that stop me from making a 5 star review, but could just as easily be classified as personal preference. One thing not included that I liked from a different note app was a note or notebook count at the top of each notebook level. The type of writings and note creation I do would find that useful.

Another thing I personally would find useful is to be able to change the top level notebook name within the app at the notebook level rather than having to go to a folder to make that change. It is nice to reorganize in a single place rather than separate locations. I get the concern over deleting a notebook if done that way but a simple are you sure type question might help address that.

The third and last item I’ll mention is the possible need for a fourth level. There are times it seems another level could be useful.",Potential Adds
Apple App Store,OneNote,SadieBeth89,8/24/25 17:30,5,"I have the app on my phone, tablet and laptop. Everything I write down syncs across all platforms. I love it and it’s simple to use. A lot of free features too!",Perfect & Free!
Apple App Store,OneNote,Drive 2323,8/25/25 17:30,2,"Opened up to take notes on the fly then note was lost and couldn’t update while syncing. Horrible outsourced Microsoft effort.

While you’re on iOS, you might as well just pick something that gets a little more love and attention .",Couldn’t use and lost note while syncing
Apple App Store,OneNote,50129875401,8/26/25 17:30,1,I am unable to even use the app due to syncing issues. And I just started using it and can’t do nothing on it.,Syncing Issues
Apple App Store,OneNote,gi jane 2,8/27/25 17:30,5,The ability to screenshot something and add it to a book in one note has enabled me to finish school in record time! Thanks for this awesome resource!,One Note is the sole reason I am achieving my degree in under 2 years!
Apple App Store,OneNote,Ant3690,8/28/25 17:30,1,"Stopped syncing and Microsoft support is useless as always. Just get Evernote. This stops syncing and gives me errors all the time. Microsoft has lost it, the age of apple is getting better and better while windows becomes so terrible it can’t even sync notes. If you want terrible outsourced customers service in India than Microsoft is your company",Stopped Snycing
Apple App Store,OneNote,Ctmoe,8/29/25 17:30,5,This is the only notebook you will ever need. Using notebook on apple products. I use it for journaling and learning. Just get it.,OneNote is sensational
Apple App Store,OneNote,Ta0944,8/30/25 17:30,1,"This is the worst app experience I have ever had by far. I would not wish one note on my worst enemy. I am a tech savvy young person and I had multiple meltdowns trying to save and transfer notes within this app. After I spent days transferring my notes from my school account to a personal account, one note deleted my notes and it was impossible to recover them. I lost 4 years of invaluable notes from grad school that I was relying on having as I start my career. I have never felt so irate because of technology. On top of this, it was impossible to contact Microsoft for support and I kept getting redirected to articles and ai generated answers that were unhelpful. I hate this app and will never be using it again. Do yourself a favor and steer as far clear from one note as you possible can.",Worst App Ever
Apple App Store,OneNote,Orca Matt,8/31/25 17:30,1,Needs hand writing search function. Get with the times,Needs hand writing search
Apple App Store,OneNote,Gersh&12,9/1/25 17:30,2,"On my iPad, OneNote keeps crashing when I’m typing . Could you fix this ? 
Thank you.",OneNote keeps crashing
Apple App Store,OneNote,phukiu,9/2/25 17:30,1,"I have to sign-in EVERY TIME I send an email to OneNote, from Outlook, which is the same account. And all. Too often, it fails after making me enter my credentials and wait for it to respond. Idiotic. Insultingly so.

And now I’ve just been informed that my notes on iPhone haven’t been syncing to the cloud for perhaps as long as the last 3 weeks?!?  So now I gotta manually comb through every single notebook and manually email each page to myself as a pdf and then manually insert those into the appropriate place in OneNote on my PC (assuming that’s working properly?!?!   asThis might be enough for me to finally abandon all hope that OneNote will ever work properly on iPhone.  What a ridiculous, unworkable app!","Awful launch, sign-in, authentication experience"
Apple App Store,OneNote,jditje,9/3/25 17:30,1,OneNote on the app on the phone does not sync with OneNote on the PC seamlessly. Can’t get it to work.,Terrible sync
