App,User,Date,Score,Review_ID,Review,Version,Reply
OneNote,Wuan Head,2025-06-15 15:53:27,1,9119e325-adcb-4f8d-9747-4b544d171fc6,Just keeps crashing.,16.0.18730.20110,
OneNote,trevor peart-jackson,2025-06-15 15:52:43,5,43334be4-5253-48e9-ab2b-9f59cd04b045,Nice simple layout and add free!!!!!,16.0.18730.20110,
OneNote,Hope Nga,2025-06-15 15:39:06,1,4ab62bad-36bc-438f-aca6-c63be474f556,Android update has caused One Note to stop working and doesn't open,,
OneNote,Echimabi Nicky,2025-06-15 11:11:18,4,78a8119b-085a-4397-9929-d67e2fb3c8ec,it's great I must say..,16.0.18730.20110,
OneNote,John Tocado,2025-06-15 10:58:12,5,f52e0aa8-0994-4cd5-ba8a-f5fc1b38311b,I use it all the time at work and at home.,16.0.18730.20110,
OneNote,Emma,2025-06-15 09:46:32,4,1529f449-cd34-41d6-b184-7a63a08785d0,"This is a good note-taking app I use for school. It's very well organized, simple and easy to use. But I would prefer having more control over some specific features such as the colour of the grid lines and colour of pens/highlighters. I wish there was a setting I could choose for the app not to open on 'Recent Pages' because I prefer to choose the notebook and page I want to open myself. But overall it's a great app for typed or handwritten notes.",16.0.18730.20110,
OneNote,kunal bhoyar,2025-06-15 09:25:45,5,e60e3995-1992-47fe-ad69-5402d67ff288,i used this app for 4 to 5 years,16.0.18730.20110,
OneNote,chetan godara,2025-06-15 06:29:31,5,d025a1f6-a585-46cb-abbe-fc30da65b57e,it's good,16.0.18730.20110,
OneNote,adi w,2025-06-15 06:16:34,5,c0551e09-36b3-42ad-aa6a-fee1c5f2ab5a,So helful to record everything but i cant delete note book i dont need,16.0.18730.20110,
OneNote,Terre Green,2025-06-15 04:33:38,5,df0b3f31-c775-4083-89e0-a19fa6c26cf2,definitely do it's job keeping notes.,16.0.18730.20110,
OneNote,YAP Rony Real Property,2025-06-15 04:03:45,1,7c1c56cd-1d1d-4aa8-a0f6-08e3826863fd,15th Jun 25 - Too many requests.,16.0.18730.20056,"Thanks for sharing your feedback! For answers to your OneNote questions, see our Help and Support articles in the Account section of the app. You can also go to https://support.microsoft.com/onenote and select OneNote for Android at the bottom of the page"
